timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1537037997.790221,0.184049,0.253985,1.246442,-0.227720,0.068950,0.126396,0.177140,-0.251263,-0.951571,-0.053834,0.027982,-0.030255,9.112068,-19.351402,-29.513977,,,,,,,
,,,,,,,,,,,,,,,,42.293121,-71.262840,56.929775,-1.000000,-1.000000,1537037997.632697,
1537037997.800201,0.181398,0.251123,1.248775,-0.204398,0.016512,0.126578,0.174747,-0.248491,-0.952741,-0.045459,0.010195,-0.052126,9.048326,-18.894764,-29.525879,,,,,,,
1537037997.810180,0.178249,0.248546,1.251100,-0.191711,-0.014510,0.129881,0.171858,-0.245995,-0.953914,-0.050581,0.000725,-0.068944,9.048326,-18.894764,-29.525879,,,,,,,
1537037997.820159,0.174736,0.245993,1.253305,-0.196008,-0.044394,0.124550,0.168614,-0.243519,-0.955127,-0.049718,-0.002254,-0.085324,8.943802,-19.095375,-29.567291,,,,,,,
1537037997.830138,0.170784,0.243402,1.255559,-0.206608,-0.062517,0.111701,0.164945,-0.241006,-0.956404,-0.045011,-0.003791,-0.097871,8.943802,-19.095375,-29.567291,,,,,,,
1537037997.840087,0.166318,0.240778,1.256940,-0.229983,-0.090194,0.093453,0.160777,-0.238458,-0.957752,-0.046336,0.001336,-0.098217,8.935188,-18.904686,-29.653015,,,,,,,
1537037997.850066,0.161847,0.237614,1.258897,-0.256588,-0.123190,0.076261,0.156613,-0.235384,-0.959201,-0.042966,0.004961,-0.099957,8.935188,-18.904686,-29.653015,,,,,,,
1537037997.860046,0.157805,0.234122,1.259169,-0.277875,-0.185056,0.052723,0.152864,-0.231989,-0.960632,-0.042283,0.006174,-0.098893,8.834774,-18.452381,-29.732727,,,,,,,
1537037997.870025,0.153847,0.231169,1.260257,-0.283152,-0.260896,0.023950,0.149164,-0.229116,-0.961902,-0.039118,0.006918,-0.102139,8.834774,-18.452381,-29.732727,,,,,,,
1537037997.880004,0.149659,0.228524,1.259716,-0.272421,-0.345371,-0.008995,0.145225,-0.226540,-0.963114,-0.040168,0.003640,-0.108800,8.420364,-18.338753,-29.960358,,,,,,,
1537037997.889983,0.144864,0.226141,1.259988,-0.250983,-0.409610,-0.038701,0.140682,-0.224218,-0.964331,-0.050441,0.005453,-0.102609,8.420364,-18.338753,-29.960358,,,,,,,
1537037997.899963,0.139771,0.223783,1.258793,-0.239076,-0.459926,-0.071676,0.135843,-0.221920,-0.965556,-0.058710,0.017925,-0.094533,8.210455,-18.443497,-30.324371,,,,,,,
1537037997.909942,0.135073,0.221407,1.257928,-0.237990,-0.427071,-0.179516,0.131375,-0.219603,-0.966703,-0.072812,0.013808,-0.084414,8.210455,-18.443497,-30.324371,,,,,,,
1537037997.919921,0.130704,0.218864,1.254354,-0.218259,-0.515974,-0.262579,0.127223,-0.217121,-0.967819,-0.028071,0.021412,-0.056626,8.147423,-18.199024,-30.527771,,,,,,,
1537037997.929870,0.125440,0.216420,1.252461,-0.222245,-0.583074,-0.197419,0.122192,-0.214735,-0.968998,-0.097473,0.012556,-0.037898,8.147423,-18.199024,-30.527771,,,,,,,
1537037997.939849,0.119729,0.213980,1.249944,-0.227025,-0.606430,-0.148320,0.116719,-0.212350,-0.970198,-0.138142,0.008188,-0.012590,7.843349,-18.124912,-30.796204,,,,,,,
1537037997.949828,0.116953,0.214660,1.247891,-0.144069,-0.485262,-0.199225,0.114008,-0.213016,-0.970374,-0.137842,0.051272,0.039146,7.843349,-18.124912,-30.796204,,,,,,,
1537037997.959808,0.112047,0.213435,1.245659,-0.066941,-0.523136,-0.244663,0.109276,-0.211818,-0.971181,-0.125557,0.086651,0.109883,7.843349,-18.124912,-30.796204,,,,,,,
1537037997.969787,0.105421,0.212789,1.242414,-0.015585,-0.689853,-0.194042,0.102852,-0.211187,-0.972019,-0.137429,0.069051,0.076679,7.688723,-18.027447,-30.709747,,,,,,,
1537037997.979766,0.096743,0.212477,1.241253,0.024724,-0.860695,-0.103981,0.094420,-0.210882,-0.972941,-0.145079,0.065512,0.057718,7.688723,-18.027447,-30.709747,,,,,,,
1537037997.989745,0.085617,0.212362,1.240566,0.021134,-1.024859,0.005045,0.083591,-0.210770,-0.973955,-0.133548,0.045654,0.064028,7.055729,-18.110126,-31.070953,,,,,,,
1537037997.999725,0.074966,0.211877,1.241204,0.012590,-1.121781,0.092628,0.073221,-0.210295,-0.974892,-0.121347,0.049666,0.074135,7.055729,-18.110126,-31.070953,,,,,,,
1537037998.009704,0.061217,0.211853,1.241564,0.004451,-1.208117,0.139638,0.059811,-0.210272,-0.975812,-0.108120,0.065618,0.087994,6.475554,-17.802292,-31.189178,,,,,,,
1537037998.019653,0.045991,0.212212,1.243559,0.025670,-1.246660,0.141928,0.044943,-0.210622,-0.976534,-0.091300,0.087179,0.104387,6.475554,-17.802292,-31.189178,,,,,,,
1537037998.029632,0.031842,0.212201,1.244009,0.057964,-1.216983,0.119658,0.031123,-0.210612,-0.977074,-0.080668,0.108500,0.132683,5.502062,-17.899487,-31.191559,,,,,,,
1537037998.039611,0.019200,0.212396,1.245029,0.108728,-1.153292,0.072903,0.018767,-0.210802,-0.977349,-0.089599,0.121218,0.150017,5.502062,-17.899487,-31.191559,,,,,,,
1537037998.049590,0.008414,0.213980,1.244190,0.175731,-1.045942,0.012317,0.008222,-0.212351,-0.977159,-0.097807,0.118952,0.136949,4.611197,-17.998085,-31.644073,,,,,,,
1537037998.059570,-0.001219,0.216159,1.243895,0.226587,-0.952363,-0.037668,-0.001191,-0.214480,-0.976728,-0.106597,0.110461,0.117032,4.611197,-17.998085,-31.644073,,,,,,,
1537037998.069549,-0.009649,0.219906,1.242309,0.206002,-0.984231,-0.013197,-0.009416,-0.218137,-0.975873,-0.098799,0.083234,0.089368,4.025986,-17.883324,-31.640991,,,,,,,
1537037998.079528,-0.020957,0.221294,1.242433,0.115567,-1.173735,0.017457,-0.020444,-0.219492,-0.975400,-0.077471,0.060160,0.028180,4.025986,-17.883324,-31.640991,,,,,,,
1537037998.089507,-0.033064,0.221943,1.242019,0.055640,-1.196882,0.029961,-0.032247,-0.220125,-0.974939,-0.055903,0.076051,0.014993,3.005705,-17.811844,-31.739166,,,,,,,
1537037998.099487,-0.043890,0.222652,1.242273,0.083926,-1.034769,0.018211,-0.042792,-0.220817,-0.974376,-0.053643,0.086174,0.080623,3.005705,-17.811844,-31.739166,,,,,,,
1537037998.109435,-0.051949,0.225630,1.241188,0.184117,-0.860313,-0.034789,-0.050610,-0.223720,-0.973339,-0.070042,0.092006,0.123027,2.371704,-17.928280,-31.786316,,,,,,,
1537037998.119415,-0.059585,0.228380,1.240437,0.300297,-0.759652,-0.106842,-0.058004,-0.226399,-0.972306,-0.080271,0.116918,0.121888,2.371704,-17.928280,-31.786316,,,,,,,
1537037998.129394,-0.065086,0.232308,1.238039,0.410010,-0.530993,-0.250577,-0.063292,-0.230224,-0.971077,-0.083329,0.134292,0.114586,1.976255,-18.297562,-31.931061,,,,,,,
1537037998.139373,-0.068707,0.237776,1.234386,0.565644,-0.429723,-0.436630,-0.066721,-0.235542,-0.969571,-0.052954,0.125602,0.118283,1.976255,-18.297562,-31.931061,,,,,,,
1537037998.149352,-0.069638,0.246097,1.228577,0.704268,-0.223677,-0.598331,-0.067485,-0.243620,-0.967520,-0.095311,0.093947,0.110495,1.776096,-18.649326,-31.730988,,,,,,,
1537037998.159331,-0.067804,0.253629,1.221988,0.694447,0.088951,-0.713985,-0.065585,-0.250919,-0.965784,-0.181013,0.042667,0.052789,1.776096,-18.649326,-31.730988,,,,,,,
1537037998.169311,-0.065563,0.259812,1.214179,0.520389,-0.014799,-0.728711,-0.063317,-0.256899,-0.964362,-0.254813,-0.024031,-0.052072,2.158539,-19.031315,-31.304596,,,,,,,
1537037998.179290,-0.066823,0.263322,1.207974,0.236300,-0.375971,-0.570858,-0.064471,-0.260289,-0.963376,-0.236707,-0.086116,-0.128085,2.158539,-19.031315,-31.304596,,,,,,,
1537037998.189239,-0.072350,0.262818,1.204185,-0.062587,-0.623603,-0.281901,-0.069805,-0.259803,-0.963135,-0.199894,-0.126107,-0.130950,1.959457,-18.816360,-31.375031,,,,,,,
1537037998.199218,-0.079590,0.259446,1.202417,-0.291160,-0.695809,-0.162457,-0.076845,-0.256545,-0.963473,-0.162337,-0.091569,-0.075239,1.959457,-18.816360,-31.375031,,,,,,,
1537037998.209186,-0.087372,0.254463,1.200019,-0.405279,-0.743296,-0.181182,-0.084451,-0.251725,-0.964107,-0.106391,-0.003569,-0.015507,1.644403,-18.790901,-31.610413,,,,,,,
1537037998.219165,-0.094703,0.249371,1.197748,-0.407245,-0.739053,-0.198276,-0.091637,-0.246794,-0.964726,-0.085289,0.044905,0.028370,1.644403,-18.790901,-31.610413,,,,,,,
1537037998.229145,-0.102352,0.245324,1.195178,-0.343199,-0.694525,-0.188362,-0.099114,-0.242871,-0.964982,-0.066444,0.044628,0.057984,1.136200,-18.512665,-31.749329,,,,,,,
1537037998.239124,-0.111081,0.242638,1.193047,-0.281934,-0.752644,-0.253084,-0.107606,-0.240264,-0.964725,-0.033706,0.034362,0.065631,1.136200,-18.512665,-31.749329,,,,,,,
1537037998.249103,-0.122869,0.241038,1.189912,-0.234714,-1.068942,-0.261044,-0.119017,-0.238711,-0.963770,0.034621,0.023486,0.051965,0.520239,-18.060715,-31.909576,,,,,,,
1537037998.259082,-0.138048,0.239949,1.188055,-0.220523,-1.457477,-0.181578,-0.133668,-0.237653,-0.962109,0.071076,-0.003833,0.069851,0.520239,-18.060715,-31.909576,,,,,,,
1537037998.269062,-0.159287,0.238877,1.185858,-0.237095,-2.198198,-0.108332,-0.154110,-0.236612,-0.959305,0.088665,0.001886,0.064651,-0.464163,-17.862598,-31.966461,,,,,,,
1537037998.279010,-0.183584,0.237035,1.184810,-0.184097,-2.563521,-0.061773,-0.177450,-0.234821,-0.955704,0.124640,0.007984,0.031464,-0.464163,-17.862598,-31.966461,,,,,,,
1537037998.288990,-0.212155,0.236208,1.182947,-0.068436,-2.950730,-0.107714,-0.204720,-0.234017,-0.950434,0.133752,-0.005302,0.060023,-2.474438,-17.569534,-32.143799,,,,,,,
1537037998.298969,-0.244175,0.237132,1.180975,0.088431,-3.412030,-0.247290,-0.234990,-0.234915,-0.943183,0.129292,0.002951,0.029914,-2.474438,-17.569534,-32.143799,,,,,,,
1537037998.308948,-0.278656,0.241476,1.177522,0.317077,-3.566340,-0.443358,-0.267083,-0.239136,-0.933531,0.111016,0.028916,-0.045503,-4.834791,-17.882160,-32.022247,,,,,,,
1537037998.318927,-0.313209,0.248931,1.172893,0.685616,-3.559282,-0.723147,-0.298616,-0.246368,-0.922026,0.085787,0.050460,-0.011766,-4.834791,-17.882160,-32.022247,,,,,,,
1537037998.328907,-0.343521,0.261424,1.167237,1.119110,-3.022870,-0.945476,-0.325361,-0.258457,-0.909582,0.009260,0.091770,-0.042917,-6.779135,-18.306126,-31.394379,,,,,,,
1537037998.338886,-0.372183,0.277217,1.162335,1.360434,-3.149184,-1.003802,-0.349766,-0.273680,-0.895970,-0.024792,0.086394,-0.041499,-6.779135,-18.306126,-31.394379,,,,,,,
1537037998.348865,-0.405683,0.294607,1.158826,1.409712,-3.533598,-0.908140,-0.377644,-0.290364,-0.879246,-0.132640,0.125706,-0.268978,-8.804570,-19.344364,-30.593475,,,,,,,
1537037998.358844,-0.443689,0.309603,1.156944,1.228621,-4.067205,-0.749544,-0.408865,-0.304680,-0.860232,-0.040247,-0.023109,-0.265927,-8.804570,-19.344364,-30.593475,,,,,,,
1537037998.368793,-0.492293,0.319776,1.153991,0.594999,-5.152886,-0.739111,-0.448687,-0.314354,-0.836577,-0.012601,-0.031410,-0.387651,-11.441625,-20.141251,-29.492035,,,,,,,
1537037998.378772,-0.542111,0.324491,1.148432,-0.010511,-5.192306,-0.691155,-0.489020,-0.318826,-0.811917,0.015113,-0.006262,-0.393848,-11.441625,-20.141251,-29.492035,,,,,,,
1537037998.388752,-0.588442,0.323862,1.139656,-0.755057,-4.870057,-0.614439,-0.526210,-0.318231,-0.788563,-0.035573,0.087777,-0.214809,-14.557656,-20.059982,-28.741760,,,,,,,
1537037998.398731,-0.630784,0.316488,1.129546,-1.270624,-4.465077,-0.239797,-0.560486,-0.311231,-0.767457,-0.019882,0.124662,-0.095672,-14.557656,-20.059982,-28.741760,,,,,,,
1537037998.408710,-0.671615,0.303229,1.121681,-1.624006,-4.288004,0.299282,-0.593862,-0.298603,-0.747104,-0.200450,0.007603,-0.021390,-17.337265,-19.233700,-28.059845,,,,,,,
1537037998.418689,-0.710964,0.285255,1.113976,-1.933026,-4.122243,0.656077,-0.626194,-0.281402,-0.727113,-0.205334,0.016555,0.007448,-17.337265,-19.233700,-28.059845,,,,,,,
1537037998.428669,-0.743613,0.264136,1.106008,-2.127857,-3.143756,0.900599,-0.653474,-0.261075,-0.710501,-0.130935,0.149228,0.133795,-17.337265,-19.233700,-28.059845,,,,,,,
1537037998.438648,-0.759356,0.241678,1.098258,-2.085158,-1.394750,1.069853,-0.668446,-0.239332,-0.704202,-0.075481,0.095609,0.570107,-19.699360,-17.764153,-27.975677,,,,,,,
1537037998.448627,-0.768509,0.221131,1.092334,-1.806735,-0.995002,0.962096,-0.678139,-0.219333,-0.701441,0.050835,-0.168393,0.626338,-19.699360,-17.764153,-27.975677,,,,,,,
1537037998.458576,-0.776092,0.204876,1.086065,-1.517251,-0.868098,0.614501,-0.685846,-0.203446,-0.698731,0.182840,-0.190017,0.225129,-20.741192,-16.166870,-27.894043,,,,,,,
1537037998.468555,-0.781306,0.193554,1.079511,-1.166337,-0.560036,0.255316,-0.691058,-0.192348,-0.696736,0.244158,-0.044682,0.213841,-20.741192,-16.166870,-27.894043,,,,,,,
1537037998.478534,-0.783704,0.186961,1.074087,-0.743244,-0.302226,0.036414,-0.693607,-0.185874,-0.695960,0.216403,0.026893,0.314902,-21.545769,-15.325001,-27.980103,,,,,,,
1537037998.488514,-0.785887,0.183948,1.071175,-0.310845,-0.267176,0.015267,-0.695517,-0.182913,-0.694837,0.195670,0.011618,0.338239,-21.545769,-15.325001,-27.980103,,,,,,,
1537037998.498493,-0.787825,0.183330,1.070895,-0.018075,-0.183344,-0.004563,-0.696942,-0.182305,-0.693568,0.096250,0.062126,0.396906,-21.871548,-14.896793,-27.983704,,,,,,,
1537037998.508472,-0.790546,0.184053,1.070374,-0.013457,-0.350118,-0.091900,-0.698733,-0.183015,-0.691576,0.001284,0.196825,0.379976,-21.871548,-14.896793,-27.983704,,,,,,,
1537037998.518451,-0.796784,0.183163,1.068697,-0.286662,-0.774693,-0.095103,-0.703150,-0.182141,-0.687317,-0.050406,0.199856,0.210480,-22.211874,-14.916092,-27.739197,,,,,,,
1537037998.528431,-0.806407,0.180407,1.064361,-0.557943,-1.144740,-0.058856,-0.710091,-0.179430,-0.680864,-0.152351,0.172060,0.089265,-22.211874,-14.916092,-27.739197,,,,,,,
1537037998.538410,-0.820688,0.174390,1.061221,-0.693765,-1.608745,0.300600,-0.720518,-0.173507,-0.671378,-0.215135,0.213378,0.081077,-22.775633,-14.466095,-27.400970,,,,,,,
1537037998.548359,-0.839886,0.164800,1.060014,-0.769828,-2.079223,0.772473,-0.734479,-0.164055,-0.658503,-0.260943,0.112542,0.069972,-22.775633,-14.466095,-27.400970,,,,,,,
1537037998.558338,-0.864434,0.151178,1.061985,-0.782935,-2.528670,1.247875,-0.752051,-0.150603,-0.641668,-0.278329,0.076888,0.061712,-24.192385,-13.741001,-26.723267,,,,,,,
1537037998.568317,-0.892803,0.133958,1.065657,-0.837835,-2.886223,1.656770,-0.771855,-0.133558,-0.621612,-0.262980,0.066602,0.054016,-24.192385,-13.741001,-26.723267,,,,,,,
1537037998.578296,-0.925104,0.113703,1.070083,-0.951104,-3.284392,1.906332,-0.793526,-0.113458,-0.597866,-0.210029,0.064706,0.024730,-26.107052,-12.825375,-25.847931,,,,,,,
1537037998.588276,-0.960445,0.091917,1.073220,-1.076386,-3.584653,1.981738,-0.815987,-0.091788,-0.570736,-0.124229,0.108008,0.001904,-26.107052,-12.825375,-25.847931,,,,,,,
1537037998.598255,-0.997723,0.069322,1.074848,-1.113098,-3.772391,1.973187,-0.838220,-0.069267,-0.540915,-0.065237,0.149848,0.045630,-28.399035,-11.013935,-24.473419,,,,,,,
1537037998.608234,-1.035065,0.047958,1.076084,-0.985774,-3.688998,1.843572,-0.858907,-0.047940,-0.509883,-0.012004,0.197064,0.126445,-28.399035,-11.013935,-24.473419,,,,,,,
1537037998.618213,-1.070125,0.028625,1.076696,-0.889743,-3.470998,1.675223,-0.876901,-0.028621,-0.479818,0.018976,0.185558,0.160833,-30.751671,-9.613628,-22.649719,,,,,,,
1537037998.628193,-1.103175,0.010480,1.076286,-0.888133,-3.257715,1.564000,-0.892594,-0.010480,-0.450739,0.028703,0.140912,0.098063,-30.751671,-9.613628,-22.649719,,,,,,,
1537037998.638141,-1.133607,-0.006639,1.074588,-0.908578,-2.978158,1.435510,-0.905925,0.006639,-0.423386,0.043102,0.121642,0.043091,-32.396839,-8.200924,-20.704956,,,,,,,
1537037998.648121,-1.161461,-0.022794,1.071844,-0.921988,-2.698537,1.352959,-0.917147,0.022792,-0.397896,0.072573,0.134236,0.029594,-32.396839,-8.200924,-20.704956,,,,,,,
1537037998.658100,-1.185644,-0.037968,1.067562,-0.985787,-2.348335,1.201744,-0.926073,0.037959,-0.375430,0.072588,0.094472,0.031543,-33.755333,-7.062492,-19.228424,,,,,,,
1537037998.668079,-1.207359,-0.051893,1.062301,-1.008354,-2.064499,1.072171,-0.933422,0.051870,-0.355010,0.072353,0.139292,0.015563,-33.755333,-7.062492,-19.228424,,,,,,,
1537037998.678058,-1.225563,-0.064636,1.055640,-1.056285,-1.694050,0.941305,-0.939032,0.064591,-0.337709,0.038748,0.127151,0.010774,-34.538876,-5.961433,-17.981354,,,,,,,
1537037998.688038,-1.240356,-0.076246,1.047951,-1.131998,-1.338400,0.811368,-0.943151,0.076172,-0.323517,-0.012384,0.097305,0.011368,-34.538876,-5.961433,-17.981354,,,,,,,
1537037998.698017,-1.252542,-0.087381,1.038246,-1.266308,-1.084772,0.758069,-0.946159,0.087270,-0.311715,-0.060829,0.054759,-0.017707,-35.237999,-5.084545,-17.214203,,,,,,,
1537037998.707996,-1.262973,-0.098689,1.027257,-1.434157,-0.894960,0.735606,-0.948358,0.098529,-0.301511,-0.121970,-0.000476,-0.045565,-35.237999,-5.084545,-17.214203,,,,,,,
1537037998.717975,-1.272986,-0.110143,1.014375,-1.572639,-0.891076,0.714559,-0.950189,0.109921,-0.291649,-0.158027,0.011478,-0.083167,-35.600975,-4.149185,-16.500702,,,,,,,
1537037998.727924,-1.283606,-0.121388,1.001156,-1.585359,-0.914533,0.698501,-0.951987,0.121091,-0.281174,-0.161173,0.022342,-0.092834,-35.600975,-4.149185,-16.500702,,,,,,,
1537037998.737903,-1.294274,-0.132280,0.987840,-1.536098,-0.897746,0.681678,-0.953606,0.131894,-0.270627,-0.173820,0.015322,-0.053424,-35.983189,-3.032219,-16.096558,,,,,,,
1537037998.747883,-1.304890,-0.142561,0.974912,-1.505737,-0.885201,0.632729,-0.955067,0.142079,-0.260118,-0.184109,-0.002720,-0.069441,-35.983189,-3.032219,-16.096558,,,,,,,
1537037998.757862,-1.315819,-0.151855,0.961557,-1.478324,-0.912231,0.544309,-0.956533,0.151272,-0.249321,-0.175211,-0.025296,-0.115562,-36.060051,-2.238686,-15.529236,,,,,,,
1537037998.767841,-1.326731,-0.159822,0.948810,-1.394008,-0.885157,0.433729,-0.957997,0.159143,-0.238570,-0.151241,-0.050118,-0.140672,-36.060051,-2.238686,-15.529236,,,,,,,
1537037998.777820,-1.336840,-0.166113,0.936562,-1.251716,-0.805053,0.300996,-0.959367,0.165350,-0.228636,-0.127776,-0.061224,-0.121721,-36.326832,-1.317421,-14.885620,,,,,,,
1537037998.787800,-1.346407,-0.171081,0.926415,-1.036620,-0.764670,0.243425,-0.960697,0.170248,-0.219263,-0.108257,-0.083853,-0.124075,-36.326832,-1.317421,-14.885620,,,,,,,
1537037998.797779,-1.354844,-0.174995,0.917793,-0.831054,-0.676180,0.191092,-0.961855,0.174103,-0.211005,-0.097395,-0.137696,-0.125359,-36.677757,-0.975492,-14.471008,,,,,,,
1537037998.807758,-1.362068,-0.177939,0.911461,-0.619162,-0.597318,0.145207,-0.962848,0.177002,-0.203944,-0.094433,-0.127075,-0.121007,-36.677757,-0.975492,-14.471008,,,,,,,
1537037998.817707,-1.368521,-0.179956,0.906870,-0.410617,-0.566482,0.100420,-0.963793,0.178986,-0.197655,-0.081099,-0.114320,-0.140419,-36.790176,-0.834028,-13.930817,,,,,,,
1537037998.827686,-1.374573,-0.181311,0.904392,-0.218376,-0.564333,0.080124,-0.964733,0.180320,-0.191770,-0.087208,-0.104346,-0.147173,-36.790176,-0.834028,-13.930817,,,,,,,
1537037998.837665,-1.380725,-0.182127,0.903308,-0.053986,-0.615426,0.058657,-0.965749,0.181122,-0.185804,-0.095423,-0.092117,-0.162875,-36.860657,-0.715921,-13.541443,,,,,,,
1537037998.847644,-1.387308,-0.182349,0.903994,0.100810,-0.691047,0.026492,-0.966912,0.181340,-0.179435,-0.096717,-0.080189,-0.178337,-36.860657,-0.715921,-13.541443,,,,,,,
1537037998.857624,-1.394366,-0.181945,0.906066,0.269467,-0.766746,-0.007727,-0.968226,0.180943,-0.172619,-0.096395,-0.070835,-0.180911,-37.172340,-0.921488,-13.174896,,,,,,,
1537037998.867603,-1.401672,-0.181119,0.909962,0.432649,-0.810325,-0.014260,-0.969608,0.180131,-0.165566,-0.091381,-0.063920,-0.175025,-37.172340,-0.921488,-13.174896,,,,,,,
1537037998.877582,-1.408768,-0.180434,0.915258,0.553870,-0.803383,0.033364,-0.970881,0.179456,-0.158702,-0.078146,-0.045240,-0.168187,-37.172340,-0.921488,-13.174896,,,,,,,
1537037998.887561,-1.415355,-0.180440,0.921091,0.611864,-0.761858,0.120103,-0.971904,0.179462,-0.152302,-0.062474,-0.025043,-0.172649,-37.365616,-0.993032,-12.486877,,,,,,,
1537037998.897541,-1.421555,-0.181516,0.927554,0.608763,-0.734903,0.232143,-0.972638,0.180521,-0.146246,-0.056949,-0.008279,-0.183970,-37.365616,-0.993032,-12.486877,,,,,,,
1537037998.907489,-1.427677,-0.183820,0.933220,0.552235,-0.725810,0.348175,-0.973101,0.182787,-0.140228,-0.052366,-0.005983,-0.195923,-37.549591,-0.815313,-12.107941,,,,,,,
1537037998.917469,-1.433795,-0.187464,0.938841,0.478621,-0.709142,0.469442,-0.973274,0.186368,-0.134181,-0.045601,-0.007627,-0.188070,-37.549591,-0.815313,-12.107941,,,,,,,
1537037998.927448,-1.439906,-0.192345,0.943489,0.413618,-0.710702,0.575832,-0.973162,0.191161,-0.128110,-0.035627,-0.002486,-0.167560,-37.725105,-0.664644,-11.248383,,,,,,,
1537037998.937427,-1.446234,-0.198135,0.948100,0.364884,-0.727368,0.649236,-0.972839,0.196841,-0.121810,-0.015106,-0.005511,-0.150667,-37.725105,-0.664644,-11.248383,,,,,,,
1537037998.947406,-1.452785,-0.204518,0.952055,0.319628,-0.743049,0.692769,-0.972349,0.203095,-0.115284,0.009321,-0.017075,-0.131771,-37.961319,-0.515003,-10.917419,,,,,,,
1537037998.957386,-1.459357,-0.211180,0.955770,0.273643,-0.732101,0.706384,-0.971719,0.209613,-0.108738,0.039438,-0.019336,-0.118542,-37.961319,-0.515003,-10.917419,,,,,,,
1537037998.967365,-1.465737,-0.217768,0.958565,0.228086,-0.698818,0.681549,-0.970999,0.216051,-0.102389,0.070837,-0.016482,-0.110807,-38.064724,-0.020987,-10.579987,,,,,,,
1537037998.977344,-1.471613,-0.224053,0.961288,0.192342,-0.630381,0.643923,-0.970213,0.222183,-0.096546,0.099882,-0.016845,-0.096936,-38.064724,-0.020987,-10.579987,,,,,,,
1537037998.987323,-1.474573,-0.229975,0.963756,0.175903,-0.551386,0.598920,-0.969168,0.227953,-0.093546,0.123679,-0.017824,-0.080069,-38.241493,0.431862,-10.150574,,,,,,,
1537037998.997272,-1.476803,-0.235402,0.966626,0.184026,-0.460768,0.557239,-0.968128,0.233234,-0.091266,0.141316,-0.014499,-0.071347,-38.241493,0.431862,-10.150574,,,,,,,
1537037999.007251,-1.478316,-0.240569,0.969268,0.211150,-0.368069,0.535944,-0.967052,0.238255,-0.089689,0.147930,-0.017964,-0.064257,-38.470509,1.103271,-9.627502,,,,,,,
1537037999.017231,-1.479008,-0.245560,0.972731,0.265837,-0.287230,0.527627,-0.965918,0.243100,-0.088909,0.146948,-0.023953,-0.055210,-38.470509,1.103271,-9.627502,,,,,,,
1537037999.027210,-1.479017,-0.250443,0.976591,0.332105,-0.221368,0.534328,-0.964725,0.247834,-0.088791,0.143634,-0.020722,-0.048019,-38.343369,1.394444,-9.361023,,,,,,,
1537037999.037189,-1.478357,-0.255394,0.981325,0.394039,-0.167215,0.546353,-0.963433,0.252627,-0.089314,0.136910,-0.013460,-0.039821,-38.343369,1.394444,-9.361023,,,,,,,
1537037999.047168,-1.476940,-0.260489,0.986422,0.436768,-0.104418,0.559333,-0.962011,0.257553,-0.090557,0.129934,0.001999,-0.030124,-38.425171,1.540636,-9.330475,,,,,,,
1537037999.057148,-1.475052,-0.265725,0.992012,0.469879,-0.042634,0.574396,-0.960483,0.262609,-0.092243,0.122714,0.024760,-0.017239,-38.425171,1.540636,-9.330475,,,,,,,
1537037999.067127,-1.473763,-0.271101,0.997713,0.491118,-0.013876,0.593697,-0.958944,0.267792,-0.093342,0.119055,0.042129,-0.013164,-38.339745,1.582880,-9.281921,,,,,,,
1537037999.077106,-1.472196,-0.276796,1.003507,0.503582,0.002163,0.634314,-0.957264,0.273275,-0.094694,0.110660,0.052592,-0.009677,-38.339745,1.582880,-9.281921,,,,,,,
1537037999.087055,-1.470549,-0.282963,1.009513,0.519075,-0.004207,0.687778,-0.955411,0.279202,-0.096099,0.099790,0.061633,-0.000260,-38.539948,2.206863,-9.341248,,,,,,,
1537037999.097034,-1.468831,-0.289660,1.015823,0.542000,-0.007405,0.744484,-0.953364,0.285626,-0.097548,0.090586,0.069675,0.009169,-38.539948,2.206863,-9.341248,,,,,,,
1537037999.107013,-1.466954,-0.296865,1.022494,0.571417,-0.001041,0.795877,-0.951107,0.292524,-0.099122,0.079204,0.076540,0.022019,-38.495300,2.801149,-9.249146,,,,,,,
1537037999.116993,-1.464702,-0.304308,1.029670,0.617178,0.020117,0.816386,-0.948690,0.299633,-0.101030,0.067052,0.087970,0.039705,-38.495300,2.801149,-9.249146,,,,,,,
1537037999.126972,-1.462047,-0.311622,1.037662,0.664295,0.036922,0.802750,-0.946215,0.306603,-0.103308,0.054995,0.099952,0.063131,-38.369164,3.109394,-9.109375,,,,,,,
1537037999.136951,-1.459067,-0.318621,1.045770,0.696582,0.051640,0.775161,-0.943747,0.313258,-0.105886,0.040335,0.109365,0.080403,-38.369164,3.109394,-9.109375,,,,,,,
1537037999.146930,-1.455888,-0.325284,1.054197,0.705414,0.055796,0.744249,-0.941311,0.319578,-0.108643,0.023373,0.121813,0.089509,-38.320877,3.349333,-9.494446,,,,,,,
